TITLE,TYPE,GENRES,THEMES,SYNOPSIS,MAIN_PICTURE
Acchi Kocchi: Place=Princess,anime,"['Comedy', 'Romance']","['Gag Humor', 'School']",Episode 13 of Acchi Kocchi that was included in Vol.6. ,https://cdn.myanimelist.net/images/anime/12/43823l.jpg
Ace wo Nerae!,anime,"['Drama', 'Romance', 'Sports']",['School'],"On her first day at Nishi High School, 15-year-old Hiromi Oka is inspired by top player Reika ""Ochoufujin"" Ryuuzaki to take up tennis. Shortly after joining the school's tennis club, she encounters Jin Munakata, the club's new coach. Munakata puts everyone under rigorous training that even puts Ochoufujin to shame. Despite the hardships, Hiromi's determination prompts the coach to select her as part of the club's main players. Because of this, Hiromi must endure the peer pressure from her seniors to become an ace tennis player.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1414/91264l.jpg
Ace wo Nerae! (1979),anime,"['Drama', 'Romance', 'Sports']",['School'],"High school freshman Hiromi joins the tennis club because of her admiration for Ryuzaki. Ryuzaki is a senior, who's the best tennis player on the team and also nicknamed ""Ochoufujin"", (""Madame Butterfly""), because of her elegance on the tennis court. However, the new coach, Jin Munakata, wants the inexperienced Hiromi to play in a forthcoming tournament.

Due to this, Hiromi considers quitting tennis for good but, in the depth of her soul, she soon realizes that she loves tennis after all. She returns to the club and, under Munakata's coaching, her talent starts to bloom.

In the end, Hiromi develops a strong emotional bond with her coach, not knowing that Munakata is risking his life because of a chronic illness.

(Source: AnimeNfo)",https://cdn.myanimelist.net/images/anime/1306/100442l.jpg
A-Channel,anime,['Comedy'],"['CGDCT', 'School']","Tooru and Run have been best friends forever, so when Tooru learns that she's managed to get into the same high school as Run, she runs to tell her... only to find Run in a compromising position with yet another girl, Yuko. Needless to say, that makes things a bit awkward at school, with Tooru fending off those who might be interested in Run while Yuko and their other girlfriend, Nagi, have to deal with Run's own penchant for drama.

(Source: Sentai Filmworks)",https://cdn.myanimelist.net/images/anime/1333/110595l.jpg
A-Channel: +A-Channel,anime,"['Comedy', 'Slice of Life']","['CGDCT', 'School']",Extra specials from the DVD/BDs. ,https://cdn.myanimelist.net/images/anime/9/29573l.jpg
A-Channel: Nabe wo Tabeyou,anime,['Comedy'],"['CGDCT', 'School']",A new episode included with the complete Blu-ray box collection of A-Channel.,https://cdn.myanimelist.net/images/anime/9/84989l.jpg
Action Heroine Cheer Fruits,anime,"['Comedy', 'Slice of Life']",['School'],"Several years ago, local heroinesâ€”superhero characters who represent towns and perform stage shows in order to raise their town's acclaimâ€”had a boom in popularity. The most famous of these local heroines, Kamidaio, is scheduled to perform in the small town of Hinano, much to the excitement of Mikan Kise's little sister Yuzu. Unfortunately, when Mikan takes Yuzu to the show, she finds out that it has been canceled. She promises her distraught sister that she'll make sure she can see the show. Desperate not to let her down, Mikan asks her classmate, the local heroine fanatic An Akagi, for help.

Mikan and Ann put on their own Kamidaio performance clad in homemade costumes, which the kids in the audience love despite its lack of production value. The show is recorded by the student council president Misaki Shirogane, who posts it online to garner attention. Misaki is from a family of politicians and has taken it upon herself to revitalize Hinano. Impressed by their show, she recruits Mikan and An to become the official local heroines of their town. As the group works to improve their shows, they enlist the help of a variety of colorful individuals.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/12/86741l.jpg
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,anime,"['Comedy', 'Sci-Fi']","['Detective', 'Mecha']","In a futuristic, post-disaster Tokyo, the ""Special Public Security Fifth Division Third Mobile Assault Eighth Unit,"" or ""Unit Eight,"" is a police unit specializing in handling criminals who wield dangerous wearable technology called ""Willwear."" Equipped with Willwear of their own, the squadron is often criticized by the public for their carelessness and disregard for protocol.

Sent in by the government as an undercover agent with special instructions from the higher-ups, Asami Kazari is Unit Eight's newest member. Determined to straighten out what she expects to be a group of incompetent fools, she instead finds a team of well-intentioned experts who use very effectiveâ€”albeit unorthodoxâ€”methods, hindered by strict regulations. With their newest member by their side, Unit Eight fights crime and overcomes unexpected adversaries in Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/3/77977l.jpg
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,anime,"['Comedy', 'Sci-Fi']","['Detective', 'Mecha']","Set in a part of Tokyo that has descended into a quagmire, the story follows Unit 8 of the 5th Special Public Security Section's 3rd Mobile Assault Division, popularly called ""The Eighth,"" who don powered armor ""Willwear"" exoskeletons to counter the rise in crime. 

(Source: ANN) ",https://cdn.myanimelist.net/images/anime/2/80341l.jpg
Adachi to Shimamura,anime,"['Girls Love', 'Romance']",['School'],"Somewhere in the school at noon, one might hear the sound of two girls playing table tennis together as they wait for time to pass by.

As if by fate, two studentsâ€”Sakura Adachi and Hougetsu Shimamuraâ€”stumble upon each other on the second floor of the school gymnasium. As they gradually foster a budding friendship, their feelings for one another only become more ambiguous. Growing closer by the day, the two must learn to navigate their contrasting personalities as well as determine the depth of their affection for each other.

The nature of this relationship gradually shifts when one of them starts to develop feelings beyond the boundaries of a platonic relationship. Even so, Adachi and Shimamura must realize if forming a bond stronger than friendship will bring them closer or tear them apart.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1649/109056l.jpg
Africa no Salaryman,anime,['Comedy'],['Workplace'],"The comedy manga follows a lion, toucan, and lizard as they live the lives of office workers in a capitalist society in Japan, while also dealing with their unique situations as animals living beyond the savanna and the food chain. 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/3/87132l.jpg
Africa no Salaryman (TV),anime,['Comedy'],"['Anthropomorphic', 'Workplace']","Africa no Salaryman is a slapstick workplace comedy that follows the adventures of kind Lion, jaded Lizard, and perverted Toucan, as they trudge through office life while also becoming caught up in antics no regular office worker should. 

Of course, most of these are the fault of Toucan, whose selfish actions and lack of filter still haven't gotten him fired. It's up to Lizard and Lion to keep themselves out of trouble and hang on to their jobs at the office. But trouble is never too far away from these savannah-treading folk.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1937/102309l.jpg
Afro Samurai,anime,"['Action', 'Adventure']","['Gore', 'Samurai']","When he was a young boy, Afro witnessed his father be cut down in a duel at the hands of a man known only as Justice. After taking the life of Afro's father, Justice cast aside his Number Two headband and took the Number One to claim its godly powers as his own.

Years later, having obtained the Number Two headband which grants him the right to challenge the Number One, Afro moves forward in his hunt for revenge on the man who murdered his father. There is just one thing that stands in his wayâ€”everyone else in the world! Though the Number One can only be challenged by the Number Two, the Number Two can be challenged by anyone. As his enemies gather to try and take the title of Number Two, Afro must fight through a myriad of foes and obstacles if he hopes to reach the Number One and claim vengeance once and for all.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/3/15874l.jpg
Afro Samurai anime,anime,"['Action', 'Adventure']","['Gore', 'Samurai']",A anime adaptation of the TV series.,https://cdn.myanimelist.net/images/anime/8/38065l.jpg
Afro Samurai Pilot,anime,['Action'],"['Martial Arts', 'Samurai']","Original pilot for the ""Afro Samurai"" TV Show, directed and animated by Takeshi Koike.",https://cdn.myanimelist.net/images/anime/3/67723l.jpg
Afro Samurai: Resurrection,anime,"['Action', 'Adventure']","['Gore', 'Samurai']","After obtaining the Number One headband, which proclaims him to be the best of all warriors, Afro spends most of his days in peace, though his nightmare-filled nights are not so tranquil. His life crescendos into chaos once again when Jinno and Sio, his former friends from long ago, take the headband from him, as well as the remains of his father. Challenged by Sio to don the Number Two headband again and exact revenge on them for their actions, Afro embarks on another journey as the wearer of said headbandâ€”an item for which anyone would kill him.

Afro Samurai: Resurrection follows Afro as he fights a second series of battles against all manner of foes, wading through the sea of corpses in his wake so that he may once again quench his never-ending thirst for revenge.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/6/77929l.jpg
Afternoon Class,anime,['Comedy'],['School'],"A student is trying to stay awake in an afternoon class.

(Source: IMDB)",https://cdn.myanimelist.net/images/anime/1645/128051l.jpg
Agatha Christie no Meitantei Poirot to Marple,anime,['Mystery'],['Historical'],"Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspenseâ€”his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead.",https://cdn.myanimelist.net/images/anime/6/3149l.jpg
Aggressive Retsuko,anime,['Comedy'],"['Anthropomorphic', 'Music', 'Workplace']","Whether it be facing misogynistic remarks from her boss or being pressured by condescending co-workers, stress is just another part of the job for 25-year-old red panda Retsuko. Despite being one of the most diligent workers at her office, her diminutiveness and modesty often lead her to be exploited by her colleagues. However, when her irritation hits the limit, Retsuko brings forth her unique brand of letting off steam: aggressive death metal karaoke bashing the idiocy and hypocrisy of her co-workers' actions and work life. Although this venting only takes place in her mind, it gives her an outlet to counter her frustration in a world where hierarchy and appearances reign supreme.

[Written by MAL Rewrite] ",https://cdn.myanimelist.net/images/anime/2/84193l.jpg
Aggressive Retsuko (ONA),anime,['Comedy'],"['Anthropomorphic', 'Workplace']","Some offices have stereotypical dynamics: the chauvinistic pig of a boss who never does any real work; the employees whose goal is to suck up to the boss; the ones whose lives seem perfect; and the individuals who have all the actual work pushed onto them. Retsuko the red panda is in the last group, as she stays late most nights to make up the work her coworkers are too lazy to do themselves.

Her relief from the stress of her everyday life comes in the form of singing death metal at a local karaoke club. Night after night, Retsuko channels her grief into a microphone and considers the place to be her own personal sanctuary. But as she moves further away from her comfort zone and the ideas people have of her, she discovers that letting others into her world of death metal may not be such a bad thing.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1566/129181l.jpg
Aggressive Retsuko (ONA) 2nd Season,anime,['Comedy'],"['Anthropomorphic', 'Workplace']","Red panda Retsuko continues to work at her cyclic office job, with the occasional stress-venting via death metal karaoke on the side. With the company of her newfound friends Gori and Washimi, life is more enjoyable than ever before. But some new shake-ups to her status quo threaten to add more stress to her life. At the office, new employee Anai seems like a fine addition to the company. Yet when Retsuko is placed in charge of his training, she finds that beneath his steadfast dedication, he may pose a threat to the stability of the workplace. Meanwhile, at home, Retsuko's mother pays an abrupt visit, fully intent on having her daughter finally settle down and find a man. With this in mind, she sets Retsuko up for various marriage appointments, much to her chagrin.

Now, Retsuko finds all the more reasons to head to the karaoke bar and unleash her furious diatribes. However, knowing that this will not truly solve her problems, she decides to make a more spontaneous choice to avoid her issues. And so, Retsuko finds herself set upon another self-reflecting journey, coming to learn more about herself and love, with the ever cathartic support of death metal karaoke.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1739/101117l.jpg
Aggressive Retsuko (ONA) 3rd Season,anime,['Comedy'],"['Anthropomorphic', 'Workplace']","After an emotional breakup with her boyfriend, red panda Retsuko closes herself off to the thought of ever being in love againâ€”well, with an actual person anyway. Retreating into the world of VR, her virtual boyfriend showers her with praise and shows up in cute outfits, albeit for a price.

While scrambling to find other ways to earn money, Retsuko finds herself in yet another financial bind after accidentally ramming into a parked van with a rental vehicle. The owner of the van, a gruff cheetah named Hyoudou, recruits her as an accountant for an underground idol group which he manages. Retsuko soon begins to buckle under the pressure from the new job, leading to plenty of inspiration for her next death metal vent sessions.

In the midst of it all, Retsuko begins to wonder if she truly desires a colorless and uninteresting life, or if there's something waiting beyond her office desk. Will Retsuko finally come out on top, both in love and in the workplace? Or will she once again be convinced that the dull and sterile life in her office environment is the one she must lead?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1049/108692l.jpg
Aggressive Retsuko (ONA) 4th Season,anime,['Comedy'],"['Anthropomorphic', 'Workplace']",Fourth season of Aggressive Retsuko.,https://cdn.myanimelist.net/images/anime/1228/118066l.jpg
Aggressive Retsuko (ONA) 5th Season,anime,['Comedy'],"['Anthropomorphic', 'Workplace']",Fifth season of Aggressive Retsuko.,https://cdn.myanimelist.net/images/anime/1321/132900l.jpg
Aggressive Retsuko: We Wish You a Metal Christmas,anime,['Comedy'],['Anthropomorphic'],"Red panda Retsuko, worked to the bone, unleashes her frustration in the form of death metal. Lately, though, she's found another joyâ€”getting the most likes possible on her Instagram posts. In fact, it is said that social media attention can release endorphins. As Christmas falls upon the city, Retsuko's hunger for validation only grows, pushing her to find new ways to embellish and sugarcoat her otherwise drab life for the internet to see.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1435/97291l.jpg
Aharen-san wa Hakarenai,anime,"['Comedy', 'Romance']",['School'],"Beginning his first year of high school, all Matsuboshi Raidou wants is to make friendsâ€”starting with the cute, tiny, and soft-spoken Reina Aharen, who sits right next to him in class. Unbeknownst to Raidou, Reina shares the same sentiment, but she has a problem. Awkward and timid, Reina is incapable of determining how chummy she has to be when approaching a person.

Due to Reina's complete inability to gauge personal space, the two struggle to spark their unlikely friendship, as even the simplest tasks like talking seem impossible for them. But despite the countless yet pointless challenges that hinder the pair, the overly imaginative Raidou will do whatever it takes to befriend the indecipherable Reina.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1612/120636l.jpg
Aharen-san wa Hakarenai Mini,anime,['Comedy'],"['Iyashikei', 'School']",Mini anime for Aharen-san wa Hakarenai released on the official Twitter.,https://cdn.myanimelist.net/images/anime/1478/129780l.jpg
Ahiru no Sora,anime,['Sports'],"['School', 'Team Sports']","Lacking what is considered the most important asset in basketball, Sora Kurumatani has struggled with his short height since the inception of his love for the game. Despite missing this beneficial aspect, Sora's unwavering drive never allowed his small stature to dictate his ability to play, believing strongly in trying his hardest and persistently practicing to prove his capability.

In hopes of satisfying his mother's wishes, Sora enters Kuzuryuu High School to become a member of the basketball club and compete wholeheartedly in tournaments. However, Sora is disappointed to find out that the boy's basketball team is nothing but a retreat for punks who have no interest in the sport. Sora also comes to learn that brothers Chiaki and Momoharu Hanazonoâ€”whom he becomes acquainted withâ€”have also lost their once spirited motivation to play. 

Determined to revive the basketball team, Sora challenges the boys to a match against him, where his quick feet and swift movements overwhelm the group. Gradually affected by Sora's impressive skills, sheer effort, and tireless devotion to basketball, the boys unexpectedly find their burnt-out passion for the game rekindling once again.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1975/108030l.jpg
Ahiru Rikusentai,anime,['Action'],"['Historical', 'Military']",Ducks get into a conflict with frogs and start a war.,https://cdn.myanimelist.net/images/anime/6/68301l.jpg
Aho Girl,anime,"['Comedy', 'Romance']",['School'],"Yoshiko Hanabatake is an idiot beyond all belief. Somehow managing to consistently score zeroes on all of her tests and consumed by an absurd obsession with bananas, her senseless acts have caused even her own mother to lose all hope. Only one person is up to the task of keeping her insanity in check: childhood friend Akuru ""A-kun"" Akutsu.
 
Though he bemoans the ridiculous behavior he has to endure, the studious but terrifying A-kun is always ready to put an end to any stupidity Yoshiko gets up to, with no qualms about using physical force. Unfortunately, no matter how many times he attempts to knock some sense into her, the girl bounces right back to her usual shenanigans, even dragging in some other eccentrics along for the ride. Try as he might to rein in her nonsense, every moment is unpredictable with Yoshiko and her profound idiocy on the loose.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/7/86665l.jpg
Ai,anime,"['Avant Garde', 'Romance']",['Psychological'],"A short experimental anime about a woman desperately in love. Made by Yoji Kuri, a well-known Japanese indie animator.",https://cdn.myanimelist.net/images/anime/13/64699l.jpg
Ai City,anime,"['Action', 'Sci-Fi']",['Super Power'],"It's sometime in the future and the story starts off with Kei and Ai running for their lives. Ai is a little girl who holds a terrible secret which could destroy the current world. The world is now populated by Headmeters, people who have psychic powers and their strength is shown on their forehead when they fight. However, Kei was an experimental subject and his strength never went above level 5 while other surpasses his ability effortlessly. While escaping, when in desperate moments, Kei could increase his ability to infinity when Ai is in trouble.

The one who's after her have a deep secret, aided by a small dwarflike man living in a robotic suit. Eventually Ai is captured and Kei, a sherlock holmes detective and another Headmeter who was converted to the good side when Kei unleashed his horrible powers through Ai must go and rescue her.

Together they must save Ai and the secret which she holds. What is the secret of Ai? Who is she?

(Source: AniDB)",https://cdn.myanimelist.net/images/anime/1859/97113l.jpg
Ai no Gakkou Cuore Monogatari,anime,"['Drama', 'Slice of Life']","['Historical', 'School']","Enrico Pocchini is a kind-hearted schoolboy with a strong sense of justice who lives in the Italian town of Torino. As a new term starts, he loses his beloved teacher, Miss Delacci, who is replaced by the stern Sr. Pelboni. Eventually, the boys in Enrico's class come to respect Sr. Pelboni, and learn about love, life and human kindness.

(Source: AniDB)",https://cdn.myanimelist.net/images/anime/1792/110187l.jpg
AI no Idenshi,anime,"['Drama', 'Sci-Fi', 'Suspense']",['Psychological'],"This science fiction omnibus depicting a doctor who ""treats"" robot and humanoid problems takes place in the near future, when humanoids with artificial intelligence account for 10% of the population. The main character, Dr. Sudo Hikaru, also has the undercover name Moggadeet, under which he secretly takes on illegal medical procedures. For example, for a man who inadvertently infected his humanoid wife with a computer virus when illegally backing up her data, Sudo proposes an operation to rewrite her memory using backup data. Could an existence replaced by backup data truly be said to be the same as it was before?

(Source: Japan Media Arts Festival, edited)",https://cdn.myanimelist.net/images/anime/1706/136176l.jpg
Ai no Senshi Rainbowman,anime,"['Action', 'Adventure', 'Sci-Fi']",['Mecha'],"In the mountains of India, a man named Takeshi Yamato gains the abilities of the legendary Rainbow Warrior, allowing him to transform into Rainbowman. With this power, he has to stop aliens from invading the earth.",https://cdn.myanimelist.net/images/anime/5/21465l.jpg
Ai no Utagoe wo Kikasete,anime,"['Drama', 'Sci-Fi']","['Music', 'School']","Satomi Amano is a model student as well as the daughter of the leading project manager of Hoshima, a company that has revolutionized AI technology. However, due to her standing, Satomi's presence has isolated her from her classmatesâ€”an obstacle she knows she may never overcome.

On an otherwise uneventful day, while preparing for school, Satomi uncovers her mother's latest exciting proposition: an AI that will prove whether robots can live alongside humans. Intrigued by how her mother will commence the project, Satomi makes her way to school, but standing in front of the class is none other than the AI herself.

As the subject of research, Shion Ashimori is tasked to fit in like a normal teenage girl without exposing her true identity. However, Shion has another goal in mindâ€”to make Satomi happy instead. With her talent for singing, Shion strives to compose harmonious melodies that not only connect her with her newfound friends but also dispel the dissonance within Satomi's heart.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1535/116583l.jpg
Ai no Wakakusa Monogatari,anime,"['Drama', 'Slice of Life']",['Historical'],"Meg, faithful and gentle, Jo, independent and energetic, Beth, quiet and shy, Amy, amiable and precociousâ€“the four sisters live vigorously and happily at home with their gentle mother while waiting for their father to return from the Civil War. Helping each other, they challenge their fates and grow up to become wonderful women.",https://cdn.myanimelist.net/images/anime/2/3210l.jpg
Ai no Wakakusa Monogatari Specials,anime,"['Drama', 'Slice of Life']",['Historical'],A summary of the Ai no Wakakusa Monogatari full series aired as a TV special in 2001. ,https://cdn.myanimelist.net/images/anime/6/42395l.jpg
Ai Shoujo Pollyanna Story,anime,"['Drama', 'Slice of Life']",['Historical'],"Motherless since birth, Pollyanna was an ordinary happy-go-lucky girl, leaving peacefully with her father, the vicar. Then one day her life changes completely when her father dies and she has to live with her aunt whom she has never met before. In the beginning, she seems to be detested by her but as time passes, they develop a very strong bond. 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/13/71674l.jpg
Ai Shoujo Pollyanna Story Specials,anime,"['Drama', 'Slice of Life']",['Historical'],A summary of Ai Shoujo Pollyanna Monogatari full series aired as TV Specials in 2001.,https://cdn.myanimelist.net/images/anime/5/63433l.jpg
Ai Tenshi Densetsu Wedding Peach,anime,"['Comedy', 'Fantasy', 'Romance']",['Mahou Shoujo'],"There are three known worldsâ€”the human world, the angel world, and the devil world. The evil queen Raindevilla yearns to destroy the angel world with help or her many devil minions. The goddess Aphrodite sends an angel to the human world, Limone, to summon three love angels in the form of three school girls, Momoko Hanasaki, Yuri Tanima, and Hinagiku Tamano, who together become Angel Lilly, Angel Daisy, and Wedding Peach. The three girls must fight to overcome the evils of the devils, as well as their own lives, and restore peace to the angel world by gathering all pieces of the Sacred Four Somethings (or Saint Something Four) and defeat the evil queen once and for all.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/7/20446l.jpg
Ai to Yuuki no Pig Girl Tonde Buurin,anime,"['Comedy', 'Fantasy', 'Romance']","['Mahou Shoujo', 'Parody', 'School']","""Look! In the sky...It's a bird...It's a plane...It's Super Pig?!""

One fateful day, Karin, a junior-high student, found what she thought was an injured piglet. However, the piglet was just exhausted from hunger. After the piglet regained his health by eating Karin's apple, he revealed that he is a prince, Tonrariano III, from a planet called Booringo. Tonrariano wanted to reward Karin for helping him and so he transformed her into a pig with superpowers. Karin was not at all pleased with the gift because she wanted to become a pretty superheroine like ""Cutey Chao"" (a parody of Cutey Honey), not Super Pig. Reluctantly, she became more interested in her role as Super Pig when she found out that she can turn into someone like ""Cutey Chao"" if she can collect 108 pearls through doing good deeds for other people.",https://cdn.myanimelist.net/images/anime/7/51421l.jpg
Ai Yori Aoshi,anime,"['Comedy', 'Drama', 'Romance']",['Harem'],"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kaoru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.",https://cdn.myanimelist.net/images/anime/7/10172l.jpg
